file_path	file_role	accession	assembly_code	annotation_code	sample_code	dataset_code	md5
/home/labuser/rdcheng/gd/manual_files/annotation.Wanlixian.gff	annotation	Wanlixian	ASM_Wanlixian	ANN_Wanlixian			
/home/labuser/rdcheng/gd/manual_files/annotation.Wanshi.gff	annotation	Wanshi	ASM_Wanshi	ANN_Wanshi			
/home/labuser/rdcheng/gd/manual_files/annotation.Weiguo.gff	annotation	Weiguo	ASM_Weiguo	ANN_Weiguo			
/home/labuser/rdcheng/gd/manual_files/annotation.Wenxiangnuo.gff	annotation	Wenxiangnuo	ASM_Wenxiangnuo	ANN_Wenxiangnuo			
/home/labuser/rdcheng/gd/manual_files/annotation.Wuziluosi 215.gff	annotation	Wuziluosi 215	ASM_Wuziluosi 215	ANN_Wuziluosi 215			
/home/labuser/rdcheng/gd/manual_files/annotation.WYJ7.gff	annotation	WYJ7	ASM_WYJ7	ANN_WYJ7			
/home/labuser/rdcheng/gd/manual_files/annotation.Xiangai B.gff	annotation	Xiangai B	ASM_Xiangai B	ANN_Xiangai B			
/home/labuser/rdcheng/gd/manual_files/annotation.Xiangaizao 10hao.gff	annotation	Xiangaizao 10hao	ASM_Xiangaizao 10hao	ANN_Xiangaizao 10hao			
/home/labuser/rdcheng/gd/manual_files/annotation.Xiangdao.gff	annotation	Xiangdao	ASM_Xiangdao	ANN_Xiangdao			
/home/labuser/rdcheng/gd/manual_files/annotation.Xianggu.gff	annotation	Xianggu	ASM_Xianggu	ANN_Xianggu			
/home/labuser/rdcheng/gd/manual_files/annotation.Xiangwanxian 3.gff	annotation	Xiangwanxian 3	ASM_Xiangwanxian 3	ANN_Xiangwanxian 3			
/home/labuser/rdcheng/gd/manual_files/annotation.Xiangzaoxian 7.gff	annotation	Xiangzaoxian 7	ASM_Xiangzaoxian 7	ANN_Xiangzaoxian 7			
/home/labuser/rdcheng/gd/manual_files/annotation.Xianluosichi.gff	annotation	Xianluosichi	ASM_Xianluosichi	ANN_Xianluosichi			
/home/labuser/rdcheng/gd/manual_files/annotation.Xiaobaimi.gff	annotation	Xiaobaimi	ASM_Xiaobaimi	ANN_Xiaobaimi			
/home/labuser/rdcheng/gd/manual_files/annotation.Xiaohonggu.gff	annotation	Xiaohonggu	ASM_Xiaohonggu	ANN_Xiaohonggu			
/home/labuser/rdcheng/gd/manual_files/annotation.Xishi 15.gff	annotation	Xishi 15	ASM_Xishi 15	ANN_Xishi 15			
/home/labuser/rdcheng/gd/manual_files/annotation.Xuanenchangtanqingzhan.gff	annotation	Xuanenchangtanqingzhan	ASM_Xuanenchangtanqingzhan	ANN_Xuanenchangtanqingzhan			
/home/labuser/rdcheng/gd/manual_files/annotation.Xugunuo.gff	annotation	Xugunuo	ASM_Xugunuo	ANN_Xugunuo			
/home/labuser/rdcheng/gd/manual_files/annotation.Yangkenuo.gff	annotation	Yangkenuo	ASM_Yangkenuo	ANN_Yangkenuo			
/home/labuser/rdcheng/gd/manual_files/annotation.Yanshuichi.gff	annotation	Yanshuichi	ASM_Yanshuichi	ANN_Yanshuichi			
/home/labuser/rdcheng/gd/manual_files/annotation.YCW03.gff	annotation	YCW03	ASM_YCW03	ANN_YCW03			
