assembly_code	accession	assembly_accession	assembly_name	species_code	assembly_level	biosample_accession	assembly_type	assembly_method	sequencing_technology	genome_size	chromosome_count	contig_count	n50	gc_content	reference	source_database	external_project	file_name	file_type	description
ASM_FH838	FH838		FH838 genome assembly	ORYZA_SATIVA														genome.FH838.fasta	FASTA	
ASM_FS32	FS32		FS32 genome assembly	ORYZA_SATIVA														genome.FS32.fasta	FASTA	
ASM_Funingzipigengzi	Funingzipigengzi		Funingzipigengzi genome assembly	ORYZA_SATIVA														genome.Funingzipigengzi.fasta	FASTA	
ASM_G Zhenshan 97B	G Zhenshan 97B		G Zhenshan 97B genome assembly	ORYZA_SATIVA														genome.G Zhenshan 97B.fasta	FASTA	
ASM_G46	G46		G46 genome assembly	ORYZA_SATIVA														genome.G46.fasta	FASTA	
ASM_G630	G630		G630 genome assembly	ORYZA_SATIVA														genome.G630.fasta	FASTA	
ASM_G8	G8		G8 genome assembly	ORYZA_SATIVA														genome.G8.fasta	FASTA	
ASM_Gim	Gim		Gim genome assembly	ORYZA_SATIVA														genome.Gim.fasta	FASTA	
ASM_GM4	GM4		GM4 genome assembly	ORYZA_SATIVA														genome.GM4.fasta	FASTA	
ASM_Gongchengxiang	Gongchengxiang		Gongchengxiang genome assembly	ORYZA_SATIVA														genome.Gongchengxiang.fasta	FASTA	
ASM_Gongju 73	Gongju 73		Gongju 73 genome assembly	ORYZA_SATIVA														genome.Gongju 73.fasta	FASTA	
ASM_Guangluai 15-	Guangluai 15-		Guangluai 15- genome assembly	ORYZA_SATIVA														genome.Guangluai 15-.fasta	FASTA	
ASM_Guangluai 4	Guangluai 4		Guangluai 4 genome assembly	ORYZA_SATIVA														genome.Guangluai 4.fasta	FASTA	
ASM_Guizhao 2	Guizhao 2		Guizhao 2 genome assembly	ORYZA_SATIVA														genome.Guizhao 2.fasta	FASTA	
ASM_GWX30	GWX30		GWX30 genome assembly	ORYZA_SATIVA														genome.GWX30.fasta	FASTA	
ASM_GZ 1368-5-4	GZ 1368-5-4		GZ 1368-5-4 genome assembly	ORYZA_SATIVA														genome.GZ 1368-5-4.fasta	FASTA	
ASM_Hanmadao4	Hanmadao4		Hanmadao4 genome assembly	ORYZA_SATIVA														genome.Hanmadao4.fasta	FASTA	
ASM_Haobayong 1	Haobayong 1		Haobayong 1 genome assembly	ORYZA_SATIVA														genome.Haobayong 1.fasta	FASTA	
ASM_Haomake (K)	Haomake (K)		Haomake (K) genome assembly	ORYZA_SATIVA														genome.Haomake (K).fasta	FASTA	
ASM_Haoxiang	Haoxiang		Haoxiang genome assembly	ORYZA_SATIVA														genome.Haoxiang.fasta	FASTA	
ASM_HBK	HBK		HBK genome assembly	ORYZA_SATIVA														genome.HBK.fasta	FASTA	
ASM_HEG4	HEG4		HEG4 genome assembly	ORYZA_SATIVA														genome.HEG4.fasta	FASTA	
ASM_Heibiao	Heibiao		Heibiao genome assembly	ORYZA_SATIVA														genome.Heibiao.fasta	FASTA	
ASM_Heidu 4	Heidu 4		Heidu 4 genome assembly	ORYZA_SATIVA														genome.Heidu 4.fasta	FASTA	
ASM_Heimangdao	Heimangdao		Heimangdao genome assembly	ORYZA_SATIVA														genome.Heimangdao.fasta	FASTA	
ASM_HHZ	HHZ		HHZ genome assembly	ORYZA_SATIVA														genome.HHZ.fasta	FASTA	
ASM_Hitomebore	Hitomebore		Hitomebore genome assembly	ORYZA_SATIVA														genome.Hitomebore.fasta	FASTA	
ASM_HMXRS1	HMXRS1		HMXRS1 genome assembly	ORYZA_SATIVA														genome.HMXRS1.fasta	FASTA	
ASM_HMZ	HMZ		HMZ genome assembly	ORYZA_SATIVA														genome.HMZ.fasta	FASTA	
