id	accession	species_id	species_code	sub_population	country	region	longitude	latitude	description
593	W0234		ORYZA_RUFIPOGON	Or-unspecific	Thailand	Southeast_Asia	102.7596728	17.7697317	Nongkai, Thailand
574	W0573		ORYZA_RUFIPOGON	Or-IIIb	Malaysia	Southeast_Asia	102.3870609	6.054812023	Bachak (Kelantan), Malaya
473	W0590		ORYZA_RUFIPOGON	Or-Ia	Malaysia	Southeast_Asia	102.5255466	5.73569514	Jerteh, Malaya
589	W0594		ORYZA_RUFIPOGON	Or-unspecific	Malaysia	Southeast_Asia	101.6868765	3.139134231	Malaya
590	W0596		ORYZA_RUFIPOGON	Or-unspecific	Malaysia	Southeast_Asia	101.7868765	3.139134231	Malaya
518	W0600		ORYZA_RUFIPOGON	Or-II	Malaysia	Southeast_Asia	103.0377873	5.404313696	Padang Kemunting, Malaya
491	W0627		ORYZA_RUFIPOGON	Or-Ib	Myanmar	Southeast_Asia	96.09953754	19.75144706	between Pedu and Toungoo (?), Burma
490	W0630		ORYZA_RUFIPOGON	Or-Ib	Myanmar	Southeast_Asia	94.56388066	20.46228692	Magwe, Burma
470	W0632		ORYZA_RUFIPOGON	Or-Ia	Myanmar	Southeast_Asia	96.19953754	19.75144706	Pyin-ma-aing, Prome, Burma
502	W0634		ORYZA_RUFIPOGON	Or-II	Myanmar	Southeast_Asia	97.38768813	25.37914273	Myitkyina, Burma
471	W0639		ORYZA_RUFIPOGON	Or-Ia	Myanmar	Southeast_Asia	96.29953754	19.75144706	Burma
467	W1080		ORYZA_RUFIPOGON	Or-Ia	India	South_Asia	93.03883464	26.20081819	Near Bagdogra, Assam, India
489	W1084		ORYZA_RUFIPOGON	Or-Ib	India	South_Asia	93.13883464	26.20081819	Near Bagdogra, Assam, India
500	W1093		ORYZA_RUFIPOGON	Or-II	India	South_Asia	91.73568694	26.14717611	Gauhati, Assam, India
468	W1107		ORYZA_RUFIPOGON	Or-Ia	India	South_Asia	94.16672864	26.82405105	Kokilamukh, India
469	W1117		ORYZA_RUFIPOGON	Or-Ia	India	South_Asia	94.26672864	26.82405105	Kokilamukh, India
501	W1126		ORYZA_RUFIPOGON	Or-II	India	South_Asia	92.38339872	24.60747368	Karimganj, India
481	W1142		ORYZA_RUFIPOGON	Or-Ib	India	South_Asia	86.08298993	20.46250352	Cuttack, Orissa, India 3miles from CRRI
530	W1214		ORYZA_RUFIPOGON	Or-II	Philippines	Southeast_Asia	125.1289776	6.06580942	Musuan, Mindanao, Philippines
532	W1236		ORYZA_RUFIPOGON	Or-II	Papua New Guinea	Oceania	145.78875	-5.23392953	Madang, Australian New Guinea
525	W1292		ORYZA_RUFIPOGON	Or-II	Indonesia	Southeast_Asia	106.8451076	-6.211434675	Handilmanarap, Kalimantan, Indonesia
