accession	project_code	project_name	dataset_code	dataset_name	dataset_type	ncbi_bioproject	ncbi_sra	external_url	description	run_count	experiment_count	ena_study	biosample_count	run_accessions	experiment_accessions	external_database
W2319	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2319_WGS	W2319 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336162;ERR13765460	ERX12707128;ERX13166632	ENA
W2320	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2320_RNASEQ	W2320 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336292;ERR13336424;ERR13336570;ERR13336717	ERX12707258;ERX12707390;ERX12707536;ERX12707683	ENA
W2320	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2320_WGS	W2320 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336163;ERR13765461	ERX12707129;ERX13166633	ENA
W2321	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2321_RNASEQ	W2321 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336293;ERR13336425;ERR13336571;ERR13336718	ERX12707259;ERX12707391;ERX12707537;ERX12707684	ENA
W2321	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2321_WGS	W2321 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336164;ERR13765462	ERX12707130;ERX13166634	ENA
W2332	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2332_RNASEQ	W2332 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336294;ERR13336426;ERR13336572;ERR13336719	ERX12707260;ERX12707392;ERX12707538;ERX12707685	ENA
W2332	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2332_WGS	W2332 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336165;ERR13765463	ERX12707131;ERX13166635	ENA
W3000	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W3000_RNASEQ	W3000 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=3; experiments=3; biosamples=1	3	3	ERP158450	1	ERR13336427;ERR13336573;ERR13336720	ERX12707393;ERX12707539;ERX12707686	ENA
W3000	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W3000_WGS	W3000 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336166;ERR13765464	ERX12707132;ERX13166636	ENA
W3007	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W3007_RNASEQ	W3007 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336295;ERR13336428;ERR13336574;ERR13336721	ERX12707261;ERX12707394;ERX12707540;ERX12707687	ENA
W3007	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W3007_WGS	W3007 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336053;ERR13765465	ERX12707019;ERX13166637	ENA
W3009	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W3009_RNASEQ	W3009 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336296;ERR13336429;ERR13336575;ERR13336722	ERX12707262;ERX12707395;ERX12707541;ERX12707688	ENA
