annotation_code	accession	assembly_code	annotation_name	annotation_version	species_code	scientific_name	source_database	external_project	file_name	file_type	description
ANN_W2319_PRJEB73710	W2319	ASM_W2319_PRJEB73710	W2319 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2319.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2320_PRJEB73710	W2320	ASM_W2320_PRJEB73710	W2320 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2320.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2321_PRJEB73710	W2321	ASM_W2321_PRJEB73710	W2321 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2321.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2332_PRJEB73710	W2332	ASM_W2332_PRJEB73710	W2332 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2332.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3000_PRJEB73710	W3000	ASM_W3000_PRJEB73710	W3000 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3000.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3007_PRJEB73710	W3007	ASM_W3007_PRJEB73710	W3007 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3007.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3009_PRJEB73710	W3009	ASM_W3009_PRJEB73710	W3009 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3009.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3012_PRJEB73710	W3012	ASM_W3012_PRJEB73710	W3012 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3012.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3029_PRJEB73710	W3029	ASM_W3029_PRJEB73710	W3029 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3029.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3033_PRJEB73710	W3033	ASM_W3033_PRJEB73710	W3033 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3033.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3035_PRJEB73710	W3035	ASM_W3035_PRJEB73710	W3035 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3035.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3037_PRJEB73710	W3037	ASM_W3037_PRJEB73710	W3037 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3037.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3038_PRJEB73710	W3038	ASM_W3038_PRJEB73710	W3038 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3038.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3040_PRJEB73710	W3040	ASM_W3040_PRJEB73710	W3040 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3040.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3046_PRJEB73710	W3046	ASM_W3046_PRJEB73710	W3046 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3046.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3047_PRJEB73710	W3047	ASM_W3047_PRJEB73710	W3047 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3047.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3051_PRJEB73710	W3051	ASM_W3051_PRJEB73710	W3051 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3051.gff	GFF	Genome annotation associated with rice pangenome assembly
