source_accession_code	accession_code	sample_code	species_code	raw_data_type	sequencing_platform	file_role	cluster_name	file_path	file_size	md5	check_status	remark
HMX3	HMX3		ORYZA_SATIVA	PacBio CLR		hifi_reads		/home/DATA/whzhang_backup/HMX3/2.pacbio_seq2/CLR/m64083_201230_093848.subreads.bam	142807662592	8e4eb35b0983cbf39739398d132393fc	verified	项目: 华墨香3号；负责人: 张文慧；是否压缩: 是
HMX3	HMX3		ORYZA_SATIVA	HiFi	PacBio Revio	raw_reads_R2		/home/DATA/whzhang_backup/HMX3/1.Illumina/1.raw-data/JZ_2_1.fq.gz			unchecked	项目: 华墨香3号；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 35GB
HMX3	HMX3		ORYZA_SATIVA	HiFi	PacBio Revio	raw_reads_R2		/home/DATA/whzhang_backup/HMX3/1.Illumina/1.raw-data/JZ_2_2.fq.gz			unchecked	项目: 华墨香3号；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 35GB
HHZ	HHZ		ORYZA_SATIVA	HiFi		hifi_reads		/home/DATA/whzhang_backup/2022-HHZ/1.raw-data/m64033_220517_090708.ccs.bam	20401094656	f8b1ac97cad5dee2e453959048301ac6	verified	项目: 黄华占；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	HiFi		hifi_reads		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/0.Raw-Hifi/FPAC230003891-1A/m64269e_230424_133914.hifi_reads.bam	28991029248		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	HiFi	PacBio Revio	hifi_reads		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/0.Raw-Hifi/FPAC230003891-1A-1/m64269e_230427_140010.hifi_reads.bam	28991029248		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	Hi-C	PacBio Revio	raw_reads_R1		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/0.Raw-Hifi/0.Raw-Hic/raw_data/FDHC230003891-1a_L2_1.fq.gz	12884901888		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	Hi-C	PacBio Revio	raw_reads_R2		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/0.Raw-Hifi/0.Raw-Hic/raw_data/FDHC230003891-1a_L2_2.fq.gz	12884901888		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	Hi-C	PacBio Revio	raw_reads_R1		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/0.Raw-Hifi/0.Raw-Hic/raw_data/FDHC230003891-1a_L1_1.fq.gz	651165696		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	Hi-C	PacBio Revio	raw_reads_R2		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/0.Raw-Hifi/0.Raw-Hic/raw_data/FDHC230003891-1a_L1_2.fq.gz	667942912		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	RNA-seq	PacBio Revio	rnaseq_raw		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/4.Annotation/RNA-Seq-annotation/d23DSS1.bam	2254857830		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	RNA-seq	PacBio Revio	rnaseq_raw		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/4.Annotation/RNA-Seq-annotation/d23DSR1.bam	1717986918		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	RNA-seq	PacBio Revio	rnaseq_raw		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/4.Annotation/RNA-Seq-annotation/d23DSL1.bam	2362232012		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	RNA-seq	PacBio Revio	rnaseq_raw		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/4.Annotation/RNA-Seq-annotation/d23CKS1.bam	2362232012		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	RNA-seq	PacBio Revio	rnaseq_raw		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/4.Annotation/RNA-Seq-annotation/d23CKR1.bam	1395864371		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	RNA-seq	PacBio Revio	rnaseq_raw		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/4.Annotation/RNA-Seq-annotation/d23CKL1.bam	2147483648		unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是
Ruf23	Ruf23		ORYZA_SATIVA	HiFi	PacBio Revio	raw_reads_R1		/public/home/whzhang/2020-allRice/2023.09-Rice.Nivara/6.Re_Seq-2024.03/0.Merge_Seq/d23_001_R1.fastq.gz			unchecked	项目: 野生稻抗旱；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 1.1T
