annotation_code	accession	assembly_code	annotation_name	annotation_version	is_default	species_code	source_database	source_name	external_project	file_name	file_type	description
ANN_CW31	CW31	ASM_CW31	CW31 annotation		true	ORYZA_SATIVA				annotation.CW31.gff	GFF	
ANN_CW32	CW32	ASM_CW32	CW32 annotation		true	ORYZA_SATIVA				annotation.CW32.gff	GFF	
ANN_CW33	CW33	ASM_CW33	CW33 annotation		true	ORYZA_SATIVA				annotation.CW33.gff	GFF	
ANN_CW34	CW34	ASM_CW34	CW34 annotation		true	ORYZA_SATIVA				annotation.CW34.gff	GFF	
ANN_CW35	CW35	ASM_CW35	CW35 annotation		true	ORYZA_SATIVA				annotation.CW35.gff	GFF	
ANN_CW36	CW36	ASM_CW36	CW36 annotation		true	ORYZA_SATIVA				annotation.CW36.gff	GFF	
ANN_CW37	CW37	ASM_CW37	CW37 annotation		true	ORYZA_SATIVA				annotation.CW37.gff	GFF	
ANN_CX20	CX20	ASM_CX20	CX20 annotation		true	ORYZA_SATIVA				annotation.CX20.gff	GFF	
ANN_CX3	CX3	ASM_CX3	CX3 annotation		true	ORYZA_SATIVA				annotation.CX3.gff	GFF	
ANN_D62	D62	ASM_D62	D62 annotation		true	ORYZA_SATIVA				annotation.D62.gff	GFF	
ANN_Dandongludao	Dandongludao	ASM_Dandongludao	Dandongludao annotation		true	ORYZA_SATIVA				annotation.Dandongludao.gff	GFF	
ANN_Dangyu 5	Dangyu 5	ASM_Dangyu 5	Dangyu 5 annotation		true	ORYZA_SATIVA				annotation.Dangyu 5.gff	GFF	
ANN_DG	DG	ASM_DG	DG annotation		true	ORYZA_SATIVA				annotation.DG.gff	GFF	
ANN_DGB	DGB	ASM_DGB	DGB annotation		true	ORYZA_SATIVA				annotation.DGB.gff	GFF	
ANN_DHX2	DHX2	ASM_DHX2	DHX2 annotation		true	ORYZA_SATIVA				annotation.DHX2.gff	GFF	
ANN_Dianrui 409B	Dianrui 409B	ASM_Dianrui 409B	Dianrui 409B annotation		true	ORYZA_SATIVA				annotation.Dianrui 409B.gff	GFF	
ANN_Djanda Mandja	Djanda Mandja	ASM_Djanda Mandja	Djanda Mandja annotation		true	ORYZA_SATIVA				annotation.Djanda Mandja.gff	GFF	
ANN_DomSufid	DomSufid	ASM_DomSufid	DomSufid annotation		true	ORYZA_SATIVA				annotation.DomSufid.gff	GFF	
ANN_Dongtingwanxian	Dongtingwanxian	ASM_Dongtingwanxian	Dongtingwanxian annotation		true	ORYZA_SATIVA				annotation.Dongtingwanxian.gff	GFF	
ANN_DR1	DR1	ASM_DR1	DR1 annotation		true	ORYZA_SATIVA				annotation.DR1.gff	GFF	
ANN_DR11	DR11	ASM_DR11	DR11 annotation		true	ORYZA_SATIVA				annotation.DR11.gff	GFF	
ANN_DR12	DR12	ASM_DR12	DR12 annotation		true	ORYZA_SATIVA				annotation.DR12.gff	GFF	
ANN_DR13	DR13	ASM_DR13	DR13 annotation		true	ORYZA_SATIVA				annotation.DR13.gff	GFF	
ANN_DR14	DR14	ASM_DR14	DR14 annotation		true	ORYZA_SATIVA				annotation.DR14.gff	GFF	
